Canton;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
La Cruz;79,398;80,355;80,088;80,728;80,787;81,175;80,054;78,514;80,667;78,550;79,246
Hojancha;82,830;84,410;82,011;85,000;83,435;80,415;83,499;82,496;81,082;85,000;81,183
Puntarenas;78,251;79,524;79,446;79,561;78,742;80,249;79,688;80,695;81,378;80,404;79,525
Esparza;82,453;83,308;83,592;83,125;80,716;82,970;81,704;82,304;82,470;82,426;81,811
Buenos Aires;79,243;81,085;81,200;82,755;81,508;83,541;81,009;80,721;82,170;82,707;78,716
Montes de Oro;80,117;81,672;80,610;83,028;77,837;78,081;81,283;79,793;80,192;79,996;78,830
Osa;80,830;82,449;80,771;80,273;79,263;81,555;78,178;78,329;77,873;80,790;79,636
Quepos;78,579;80,550;79,354;81,077;79,356;79,347;78,761;79,890;79,868;79,391;79,372
Golfito;77,515;79,226;79,356;80,622;80,107;80,539;80,362;81,743;80,785;78,798;82,180
Coto Brus;81,759;81,300;80,480;81,217;81,914;81,979;81,586;82,778;79,925;81,735;81,249
Parrita;80,271;80,290;80,480;81,940;80,573;78,291;78,230;79,122;82,905;81,664;81,321
Corredores;79,539;80,172;80,229;79,576;81,312;80,148;80,678;81,131;81,126;79,343;78,789
Garabito;77,168;76,764;78,973;79,782;80,266;77,868;79,037;77,975;74,494;77,686;79,714
Limón;76,643;76,331;76,693;77,506;78,261;77,651;77,553;77,315;77,514;79,391;78,071
Pococí;80,625;79,960;81,145;81,328;81,017;81,597;80,520;80,087;80,327;82,191;81,417
Siquirres;80,024;79,339;79,798;80,707;81,436;80,417;79,795;80,784;80,209;79,943;81,083
Talamanca;80,788;79,832;78,767;79,230;80,240;78,321;78,483;79,435;77,617;77,602;74,616
Matina;77,480;78,945;75,751;77,714;79,742;78,448;77,483;78,962;76,861;78,652;75,870
Guácimo;78,652;83,186;81,108;80,743;81,490;82,345;82,143;78,912;81,938;81,423;82,104
