Canton;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
San Pablo;347294,0;406991,4;437905,4;464739,8;489895,9;493898,1;524047,7;529282,6;540357,5;555885,6;489295,1
Sarapiquí;307692,8;291589,4;312837,8;327711,8;315228,0;301340,5;309590,7;299345,4;288892,2;258479,5;244963,0
Liberia;266607,6;281395,8;274273,6;271247,9;293177,0;355784,9;361213,7;347449,2;361468,9;373934,9;285433,5
Nicoya;253291,3;268091,3;262316,9;257770,7;276733,8;338350,7;339701,0;331586,3;337470,3;348544,2;266467,6
Santa Cruz;270072,4;284965,4;276003,2;269941,7;288059,9;352127,9;352175,4;343347,9;349646,9;360216,5;274244,4
Bagaces;222482,0;233467,2;228391,2;227045,9;250053,9;302078,7;307766,5;297516,5;307433,2;315683,9;240917,4
Carrillo;258833,0;273205,1;266224,6;261286,5;279823,6;342035,6;342955,9;334464,4;340708,6;351494,3;267270,9
Cañas;235001,8;249328,1;243839,6;241485,5;258520,8;312638,6;309603,1;299487,3;302544,7;304873,9;232806,3
Abangares;223536,8;263584,9;254999,6;253035,6;276811,2;337000,1;343416,8;333664,9;348102,5;360902,2;276624,2
Tilarán;204744,9;217091,8;215881,4;214177,7;234407,3;286376,4;290938,8;284801,2;289101,2;300140,3;231013,2
Nandayure;167133,7;177623,0;182541,8;162151,7;204103,3;239892,7;252577,1;246305,9;249875,8;261212,5;201765,1
La Cruz;119041,0;125557,7;122860,8;126136,1;141841,7;174210,8;184220,7;180134,6;189267,1;199235,6;150528,3
Hojancha;121477,1;130306,9;141195,6;170966,6;165954,6;214902,1;213228,2;210165,2;214261,8;227853,1;175531,2
Puntarenas;245366,1;259220,9;269768,4;274412,7;268698,4;291439,5;303797,2;292623,1;309440,1;295998,0;244635,7
Esparza;230083,3;249034,2;262379,7;271678,1;266973,9;290483,8;303641,9;294742,9;308217,2;291967,7;249680,2
Buenos Aires;146729,4;153704,5;139867,1;151951,1;159273,3;165327,3;177643,1;167952,9;178218,8;178003,8;178860,8
Montes de Oro;242584,0;265140,9;272170,8;279961,1;279029,2;298827,4;310422,5;297298,1;314898,1;301160,5;259976,5
Osa;278519,0;294212,7;274383,9;302628,8;317810,5;321922,7;338584,9;312349,0;335047,9;340107,7;337559,5
Quepos;228832,4;248656,4;259152,1;266011,9;260825,0;282637,4;292015,8;282507,5;294221,1;280284,7;239212,5
Golfito;269156,1;280374,3;258249,7;282346,9;296265,0;299281,4;314305,9;289101,6;311284,0;318497,7;308996,2
Coto Brus;162261,3;170440,4;159149,8;173371,6;182764,3;189836,2;207426,9;193103,6;218493,0;224360,2;229550,4
Parrita;191791,2;208759,3;224604,4;232992,3;232917,8;253820,6;266760,6;259429,5;271045,8;260679,2;226395,0
Corredores;222987,7;236357,8;222519,2;246707,8;254327,1;258134,4;269499,4;248126,8;266483,6;272352,4;266682,6
Garabito;244117,9;264216,1;273835,7;280242,6;272746,3;295668,0;304344,3;293980,1;306746,5;292752,9;251250,8
Limón;223040,7;228329,7;233026,8;262630,8;254446,5;280620,8;279322,5;279671,1;281165,5;266429,2;265553,9
Pococí;215410,8;225865,5;228180,7;249842,5;240296,3;261263,2;260664,8;254602,9;262298,0;252245,0;243634,7
Siquirres;290405,2;302776,4;303380,6;334744,2;319714,5;344197,7;337817,7;326407,4;337251,0;322457,8;303797,9
Talamanca;152860,5;158060,6;161213,1;182655,3;180683,4;204978,5;218618,3;218713,4;232195,3;227732,5;211062,6
Matina;141520,0;145640,0;144492,7;160128,7;155274,5;171900,7;174982,9;173994,0;179030,0;171930,6;166655,3
Guácimo;197348,2;201818,6;205949,8;226518,4;216064,3;232649,2;230130,5;221902,1;229448,1;217805,9;207823,6
